"","text"
"393","traveloka  terbaik skor     terhormat traveloka  ko limit nya mentok  jta     limit nya tolong   naikan limit nyasaya  bayar cicilan tewaktu   oke  ah telat sehari    limit terimakasih"
"394","  sims"
"395","  dibayar harga   gak main blass"
"396","i trust to traveloka due to esional and easy to get ticket hotel etc"
"397"," tis  aman"
"398","refund   bln  "
"399","kai traveloka refund nya susah tmbayaran tetenjut al tiket gk   k  yg   sambeli  traveloka susah refundnya namanya  mendadak gk  brangkat t tagihan tetenjut"
"400","good"
"401","oklf"
"402",""
"403","not good"
"404","mantab"
"405"," sarankan    ketentuan sanan tiket  eli  sesuai  ketentuan   otomatiskan   memesan tiket    kejadian    membeli tiket kereta  jakarta  bandung l  siang    samdi stasiun    masuk  gas   vaksin booster   tiket  hangus      uangnya    sayangkan  jam  kerja   terganggu     bandung   tugas"
"406"," ga  traveloka skrg"
"407","good"
"408","mantap"
"409"," membantu bgt"
"410"," inafiktif  korbannya   bayar inataetelah samdilokasi ga  inadan warga   membenarkan    karna    homestay    korban yg ama ucaorang warga untung tanggak traveloka sigatuk es komn    mengajukan refund dana  kedeya    audit  inaatau jasa yg tersedia     lg terimakasih"
"411","tg"
"412","bintang   krn  download  ah yanan    bagus mudah  ceklo iya   aasi  rekomen   tri lovers"
"413","history akun  hilang   resdr cs  kecewa banget sih"
"414","bykin onya"
"415","siip"
"416","nice aver"
"417","ok"
"418","ok a"
"419","murah "
"420","sikr"
"421","wat ok"
"422","bagus"
"423","keren  jalan   negeri"
"424"," n tiket lion air  jakarta  jaya   tiket diganti   tiket  makasar  jaya alasannya  maskahal  cek  website lion air kode sanan   berlaku  jakartajaya aarena ainan harga"
"425"," membantu  mencari tiket  cepat"
"426"," waranya gam "
"427","gacccooorr"
"428","invoice elian tiket terusan  dih langsung totalnya  ribet  klaim   asalahan"
"429","semangat"
"430"," membantu"
"431","  dgn traveloka"
"432","food nya  hilang"
"433","membantu bgt kemana  mudah  aasinya gak ribet "
"434","tolong lahklu merubah jadwal rbangan jgn  enaknya udah susah kerja ngumn uang beli tiket ianak ng transit   jakartatau nya udah  tinggal wat  yg  kalinya kerugian udah  jutaan   "
"435","   traveloka"
"436"," mudah  cari kebutuhan tiket  hotel"
"437","min  dalimit      u  ganti "
"438"," bagus  "
"439","b aj"
"440","  lngsung refund dana"
"441","semoga aasinya bags gk ad maslah "
"442","o nya "
"443","ffb dce"
"444"," traveloka  kuaya "
"445","membantu bgt  caricari hotel  han ayarannya"
"446","sayang g  bonusnya"
"447","customer service gunaan robot chatbotnya   membantu asalahan haraaiki ya"
"448","mantap"
"449"," membantu "
"450","memuaskan"
"451"," nggi   tdk bermoral  bermental satriamemalukan"
"452","bagus"
"453","terbaik"
"454","ok"
"455","limit     bayar gaah telat aneh"
"456","good"
"457","bagus   membantutidak ribet   beli tikey"
"458","knya mantah  langganan  "
"459","gimana sih   masukin alamat  gak   klik selesai"
"460","terimakasih"
"461","yes sir"
"462","rescepat"
"463","as"
"464","good"
"465"," ue  versi  gimña min  google  ga  aharuan"
"466","ww fc wa wwww www w wes  ran ama  turun  dr w wae w a awa"
"467","susahnya mencari bantuan krn sy tdk damenemukan no tel dihubungi utk   sy yg tdk terdlm daftar anyaan"
"468","good"
"469","es cetaatu  mohon refund beruang tunai   beruoucher"
"470","terbaikk"
"471"," langganan traveloka   dimana  n  tiket   bln taaru kali  bener bener kecewa  n transfer  tiket keluhan  dah nunggu   taelum  bahanan  aasi dimana tiket   muncul   pesanan  email pdf tiket keberangkatan   benerbener kecewa disuruh nunggu    chat    bilang butuh     loh ya keburu berangkatlah gimana sih   customer servicenya"
"472","good"
"473"," "
"474","traveloka  membantu "
"475","good acation"
"476"," o oaku akanselalu  q"
"477","kebanyakan ue"
"478","buruk    mudah  susah   aasi "
"479","cukumbantu aktifitas alanab  tks"
"480","uh"
"481","good"
"482","hai vom"
"483"," ratih traveloka mendekati  berati traveloka pakai jasa rating    orang gl  kasih rating   bobrok sumini apk"
"484","burung goblokk   bayar voucher  terbit disuruh tunggu  kali  jam ga  tanggung "
"485"," membantu  sanan hotel  liburan keluarga"
"486","mantap"
"487",""
"488","mantakali"
"489"," bagus aasinya"
"490","mantul"
"491","langganan tiket"
"492",""
"493","bagus"
"494","ok"
"495","intinya  kesini  jelek  susah dimi  n tiket  ayaran cicilan   cc  d tagihan   cicilan  barus  bayar h tau gitu    d bayar langsung tunai"
"496",""
"497"," "
"498","uninstalllik  anti edaan shame on you"
"499","nice"
